word,count,Actor
evaluation,136,DCO
un,41,DCO
development,38,DCO
unsdcf,27,DCO
report,23,DCO
coordination,22,DCO
quality,21,DCO
questions,19,DCO
guidelines,19,DCO
nations,18,DCO
based,18,DCO
final,18,DCO
united,18,DCO
country,16,DCO
office,16,DCO
cf,15,DCO
criteria,15,DCO
serbia,13,DCO
process,13,DCO
unct,12,DCO
un,137,RC
evaluation,57,RC
resident,49,RC
coordination,47,RC
coordinator,46,RC
agencies,40,RC
development,39,RC
gender,36,RC
country,32,RC
office,31,RC
rco,29,RC
unsdcf,26,RC
government,26,RC
joint,25,RC
groups,24,RC
team,24,RC
eu,23,RC
implementation,23,RC
cf,22,RC
undp,22,RC
un,717,UNCT
cf,485,UNCT
evaluation,472,UNCT
development,392,UNCT
de,370,UNCT
results,293,UNCT
unsdcf,292,UNCT
national,262,UNCT
government,251,UNCT
country,237,UNCT
agencies,233,UNCT
joint,208,UNCT
analysis,200,UNCT
implementation,196,UNCT
partners,181,UNCT
stakeholders,174,UNCT
serbia,172,UNCT
coordination,169,UNCT
gender,166,UNCT
data,166,UNCT
