word,count
un,1003
unct,795
evaluation,676
cf,581
development,447
de,373
unsdcf,355
agencies,355
results,354
national,313
government,291
coordination,282
joint,278
rco,267
country,266
implementation,243
stakeholders,221
analysis,209
gender,207
partners,203
data,200
serbia,200
groups,194
team,194
framework,185
level,182
rc,178
support,173
group,167
extent,149
coherence,149
cooperation,148
report,142
la,141
based,137
human,134
agency,132
indicators,132
programme,129
united,129
key,127
nations,125
rights,124
including,124
outcomes,121
women,119
sustainable,118
strategic,117
uganda,115
work,114
ensure,114
efforts,111
final,110
approach,110
also,109
achievement,109
priorities,108
review,105
interventions,104
well,101
capacity,101
outcome,100
activities,98
process,98
office,98
local,96
management,96
challenges,95
reports,95
programming,93
resident,90
role,89
planning,88
eu,87
funding,86
undp,85
resources,85
annex,83
programmes,83
effectiveness,83
progress,83
issues,82
en,81
las,81
one,81
collaboration,80
international,80
contribution,80
design,80
monitoring,80
coordinator,78
quality,78
figure,78
civil,77
building,77
equality,76
priority,76
interviews,76
sustainability,76
society,75
recommendations,75
areas,74
social,73
el,73
output,72
unfpa,71
staff,70
reporting,70
sdg,70
agenda,69
donors,69
outputs,68
del,68
specific,66
reform,66
questions,65
sdgs,65
leadership,65
accountability,65
desk,64
members,64
across,63
bih,63
effective,63
policy,63
towards,63
needs,63
communication,62
field,62
working,62
ministry,62
committee,61
azerbaijan,61
table,61
within,61
initiatives,61
thematic,61
unicef,61
los,60
survey,59
evidence,59
youth,59
targets,59
findings,59
economic,58
enhance,58
financial,58
however,58
achieved,58
health,58
technical,58
system,57
para,57
per,57
supported,56
internal,56
plans,56
new,56
services,56
que,56
strategy,56
steering,55
various,55
implementing,55
response,54
relevant,54
related,54
information,54
sector,53
ensuring,53
mechanisms,53
alignment,53
vulnerable,52
collection,52
plan,52
resilience,52
common,51
better,50
among,50
high,50
resource,50
dco,49
impact,49
result,48
documents,48
main,48
context,47
focus,47
list,47
private,47
overall,46
manager,46
change,46
project,45
next,45
rgs,45
good,45
institutions,45
unhcr,45
people,45
global,44
significant,44
time,44
communities,44
principles,44
used,44
annual,43
strategies,43
public,43
fund,43
recommendation,43
led,43
kiis,42
meetings,42
making,42
relevance,41
humanitarian,41
bosnia,41
provide,41
advocacy,41
effectively,41
enhanced,41
governance,41
providing,40
operations,39
provided,39
inclusive,39
developed,39
integration,39
ilo,39
several,38
expertise,38
cent,38
partnership,38
projects,38
fao,38
content,38
eq,38
stakeholder,38
herzegovina,38
iom,38
conclusion,38
con,38
goals,37
collective,37
conclusions,37
contributed,37
community,37
counterparts,37
roles,37
made,37
assessment,37
co,37
access,37
por,37
uninfo,36
sampling,36
engagement,36
partnerships,36
include,36
efficiency,36
digital,36
unesco,35
critical,35
education,35
levels,35
rg,35
different,35
set,35
external,35
strengthen,35
clear,35
environmental,35
established,34
staffs,34
particularly,34
lessons,34
triangulation,34
like,34
integrated,34
january,34
primary,34
guidelines,34
financing,34
identified,34
number,33
potential,33
matrix,33
strengthening,33
disability,33
non,33
individual,33
especially,33
unops,33
though,33
decision,33
objectives,33
due,32
finance,32
empowerment,32
cross,32
criteria,32
systems,32
involved,32
entities,32
practices,31
important,31
commitment,31
observations,31
cso,31
recovery,31
promote,31
se,31
general,31
line,31
lnob,31
indonesia,31
protection,31
operational,31
unrco,31
institution,30
shared,30
learned,30
phase,30
available,30
opportunities,30
inclusion,30
core,30
strong,30
sub,30
total,30
secondary,29
marco,29
ensured,29
assurance,29
commitments,29
cooperaci,29
implemented,29
contribute,29
term,29
examples,29
even,29
performance,29
positive,29
policies,28
post,28
cca,28
institutional,28
processes,28
supporting,28
promoted,28
district,28
contributions,28
could,28
despite,28
cycle,28
theory,28
terms,28
adaptability,28
users,27
sectors,27
proposed,27
unodc,27
methodology,27
provides,27
facilitated,27
pmt,27
socio,27
ownership,27
collaborative,27
enhancing,27
assistance,26
officer,26
reforms,26
mechanism,26
unidas,26
costs,26
ngo,26
example,26
included,26
assess,26
audience,26
validation,26
organizations,26
naciones,26
responsibilities,25
comprehensive,25
improve,25
comparative,25
structure,25
mainstreaming,25
early,25
delivery,25
broader,25
medium,25
improved,25
emerging,25
fgds,25
addressing,25
capacities,25
income,25
representative,25
benefit,24
es,24
learning,24
limited,24
methods,24
greater,24
current,24
programs,24
draft,24
transition,24
aligned,24
synergies,24
way,24
continue,24
power,24
como,24
regional,24
ii,24
year,24
using,24
culture,24
guidance,24
uncf,23
existing,23
accountable,23
inform,23
normative,23
north,23
coherent,23
state,23
frame,23
environment,23
three,23
beneficiaries,23
address,23
addressed,23
crucial,23
ministerio,23
uneg,23
multi,23
coordinated,23
aligning,23
achieving,22
includes,22
factors,22
iii,22
less,22
fostering,22
summary,22
covid,22
discussions,22
mandates,22
fact,22
facilitating,22
contributing,22
need,22
period,22
fully,21
funds,21
designed,21
promoting,21
gou,21
refugee,21
reference,21
highly,21
refugees,21
reported,21
inception,21
additional,21
additionally,21
smart,21
document,21
often,21
nexus,21
defined,21
transformation,21
organization,21
climate,21
planned,21
would,21
area,21
expected,20
effort,20
strengthened,20
csos,20
standards,20
following,20
existence,20
energy,20
sources,20
meeting,20
identify,20
responses,20
growth,20
respondents,20
bappenas,20
visits,20
approaches,20
behind,20
personal,20
toc,20
throughout,20
european,20
responsibility,20
adopted,20
gewe,20
gov,20
guide,20
self,20
significantly,20
trabajo,19
wfp,19
republic,19
remain,19
selected,19
vision,19
reviews,19
availability,19
unaids,19
transaction,19
ohchr,19
business,19
accession,19
part,19
unep,19
dialogue,19
may,19
cq,19
make,19
donor,19
achieve,18
research,18
advancing,18
full,18
participation,18
world,18
opinions,18
particular,18
authorities,18
although,18
authority,18
consultations,18
political,18
head,18
limitations,18
first,18
frameworks,18
furthermore,18
rather,18
action,18
responsable,18
representatives,18
increase,18
achievements,18
violence,18
omt,18
cc,18
platform,18
convening,18
mapping,18
ngos,18
programmatic,18
countries,18
nacional,18
statistics,18
enable,18
indicator,18
satisfactory,18
lack,18
